iter	RMSE
0	14.73578183
1	14.06467806
2	13.15164134
3	12.4391094
4	11.66961738
5	11.00006239
6	10.4304709
7	9.876746236
8	9.412328674
9	8.941966612
10	8.517468708
11	8.164216294
12	7.768368091
13	7.389806881
14	7.030420318
15	6.79741041
16	6.574234102
17	6.260103327
18	5.93220108
19	5.682357624
20	5.44766025
21	5.327593486
22	5.082533523
23	4.867534467
24	4.621554336
25	4.453466934
26	4.247460643
27	4.069768656
28	3.879685425
29	3.694211803
30	3.511972513
31	3.352642527
32	3.172151519
33	3.037338659
34	2.909583032
35	2.767765121
36	2.657302393
37	2.537343481
38	2.431407077
39	2.307846689
40	2.194737721
41	2.108431982
42	2.020852534
43	1.932064567
44	1.8581117
45	1.777975045
46	1.694695152
47	1.626984235
48	1.547265638
49	1.47970408
50	1.414531898
51	1.36199649
52	1.312271698
53	1.266055296
54	1.219087449
55	1.179194554
56	1.14138527
57	1.08699122
58	1.052995845
59	1.015266998
60	0.9845905074
61	0.9341568661
62	0.8880356956
63	0.8466353018
64	0.8052187144
65	0.7654094743
66	0.7294470683
67	0.6973213549
68	0.6838678146
69	0.6671498855
70	0.6404847971
71	0.6289225827
72	0.6029097427
73	0.5864042653
74	0.5601316797
75	0.5375761984
76	0.5262260229
77	0.5156840186
78	0.4979394552
79	0.4730406552
80	0.4598774132
81	0.442144651
82	0.4235247498
83	0.4143878824
84	0.4061056287
85	0.394173371
86	0.3857990177
87	0.3708821721
88	0.3573612214
89	0.345111776
90	0.3347125845
91	0.3219416887
92	0.3109712591
93	0.3009977249
94	0.2898382809
95	0.2801456175
96	0.269696417
97	0.2617243188
98	0.2518821705
99	0.2468033617
