iter	Passed	Remaining
0	1	117
1	2	99
2	2	92
3	3	94
4	5	96
5	6	101
6	7	102
7	9	107
8	10	106
9	11	102
10	12	98
11	12	94
12	13	93
13	14	90
14	15	88
15	16	88
16	17	86
17	18	84
18	19	83
19	20	82
20	24	93
21	25	90
22	26	88
23	27	86
24	27	83
25	28	82
26	29	80
27	30	79
28	31	77
29	32	76
30	33	75
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	42	69
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	87	106
45	88	103
46	89	101
47	90	98
48	91	95
49	93	93
50	94	90
51	95	88
52	96	85
53	97	83
54	98	80
55	99	77
56	152	115
57	153	111
58	154	107
59	155	103
60	156	99
61	157	96
62	158	92
63	159	89
64	161	86
65	163	84
66	164	80
67	165	77
68	166	74
69	167	71
70	168	68
71	168	65
72	169	62
73	170	59
74	183	61
75	184	58
76	185	55
77	186	52
78	189	50
79	190	47
80	191	44
81	192	42
82	193	39
83	194	36
84	196	34
85	197	32
86	212	31
87	213	29
88	214	26
89	233	25
90	235	23
91	237	20
92	238	17
93	239	15
94	239	12
95	240	10
96	242	7
97	243	4
98	244	2
99	245	0
