id,год,месяц,день,объем нефти (м3/сутки),объем жидкости (м3/сутки),объем газа (м3/сутки),объем воды (м3/сутки),обводненность (%),рабочее время,динамический уровень (м),пластовое давление (атм)
0,2013,1,1,49,70,13055,21,29,24,1819,214
1,2013,1,2,49,70,13055,21,29,24,1836,214
2,2013,1,3,49,70,13055,21,29,24,1788,214
3,2013,1,4,49,70,13055,21,29,24,1789,214
4,2013,1,5,44,70,11768,26,36,24,1825,214
5,2013,1,6,44,70,11768,26,36,24,1781,214
6,2013,1,7,43,68,11432,25,36,24,1790,214
7,2013,1,8,43,68,11432,25,36,24,1784,214
8,2013,1,9,43,68,11432,25,36,24,1831,214
9,2013,1,10,43,68,11432,25,36,24,1831,214
10,2013,1,11,43,68,11432,25,36,24,1828,214
11,2013,1,12,42,68,11253,26,37,24,1761,214
12,2013,1,13,43,69,11418,26,37,24,1789,214
13,2013,1,14,43,69,11418,26,37,24,1764,213
14,2013,1,15,44,71,11749,27,37,24,1764,213
15,2013,1,16,44,71,11749,27,37,24,1764,213
16,2013,1,17,44,71,11749,27,37,24,1754,213
17,2013,1,18,44,71,11749,27,37,24,1763,213
18,2013,1,19,46,70,12319,24,33,24,1768,213
19,2013,1,20,46,70,12319,24,33,24,1785,213
20,2013,1,21,44,70,11768,26,36,24,1788,213
21,2013,1,22,44,70,11768,26,36,24,1779,213
22,2013,1,23,44,70,11768,26,36,24,1786,213
23,2013,1,24,43,69,11600,26,36,24,1769,213
24,2013,1,25,43,69,11418,26,37,24,1781,213
25,2013,1,26,43,69,11418,26,37,24,1789,213
26,2013,1,27,43,69,11418,26,37,24,1785,213
27,2013,1,28,43,69,11418,26,37,24,1787,213
28,2013,1,29,43,69,11418,26,37,24,1779,213
29,2013,1,30,43,69,11418,26,37,24,1780,213
30,2013,1,31,47,70,12503,23,32,24,1780,213
31,2013,2,1,47,70,12503,23,32,24,1774,213
32,2013,2,2,47,72,12671,25,33,24,1766,213
33,2013,2,3,47,75,12608,28,36,24,1783,213
34,2013,2,4,47,75,12608,28,36,24,1770,213
35,2013,2,5,48,76,12776,28,36,24,1781,213
36,2013,2,6,49,78,13113,29,36,24,1773,213
37,2013,2,7,49,78,13113,29,36,24,1772,213
38,2013,2,8,49,78,13113,29,36,24,1764,213
39,2013,2,9,49,78,13113,29,36,24,1766,212
40,2013,2,10,48,78,12908,30,37,24,1763,212
41,2013,2,11,48,78,12908,30,37,24,1783,212
42,2013,2,12,49,79,13073,30,37,24,1784,212
43,2013,2,13,46,78,12293,32,40,24,1782,212
44,2013,2,14,46,78,12293,32,40,24,1793,212
45,2013,2,15,42,71,11190,29,40,24,1787,212
46,2013,2,16,41,70,11032,29,40,24,1781,212
47,2013,2,17,41,70,11032,29,40,24,1783,212
48,2013,2,18,41,70,11032,29,40,24,1788,212
49,2013,2,19,45,70,11952,25,35,24,1792,212
50,2013,2,20,45,70,12136,25,34,24,1794,212
