id,год,месяц,день,погодное условие,направление ветра,скорость ветра (м/с),давление (мм рт. ст.),влажность (%),видимость (мм),луна,осадки (мм),температура днем,температура ночью,url
0,2017,6,7,пасмурно,северо-западный,4,764,56,10.0,растущая,0.0,9,13,https://pogoda1.ru/samburg/07-06-2017/
1,2017,6,8,ясно,северо-западный,3,762,63,10.0,растущая,0.0,9,13,https://pogoda1.ru/samburg/08-06-2017/
2,2017,6,9,малооблачно,северный,3,756,51,10.0,полнолуние,0.0,12,15,https://pogoda1.ru/samburg/09-06-2017/
3,2017,6,10,пасмурно,северо-западный,8,752,60,10.0,убывающая,0.0,10,10,https://pogoda1.ru/samburg/10-06-2017/
4,2017,6,11,пасмурно,западный,6,756,50,10.0,убывающая,0.0,4,2,https://pogoda1.ru/samburg/11-06-2017/
5,2017,6,12,пасмурно,южный,6,758,70,10.0,убывающая,0.0,5,12,https://pogoda1.ru/samburg/12-06-2017/
6,2017,6,13,пасмурно,юго-восточный,2,758,100,10.0,убывающая,1.1,5,9,https://pogoda1.ru/samburg/13-06-2017/
7,2017,6,14,пасмурно,южный,9,759,65,10.0,убывающая,0.0,6,15,https://pogoda1.ru/samburg/14-06-2017/
8,2017,6,15,пасмурно,южный,7,759,55,10.0,убывающая,0.0,15,22,https://pogoda1.ru/samburg/15-06-2017/
9,2017,6,16,малооблачно,юго-западный,8,761,82,10.0,убывающая,0.0,15,17,https://pogoda1.ru/samburg/16-06-2017/
10,2017,6,17,пасмурно,восточный,6,769,49,10.0,убывающая,0.0,4,11,https://pogoda1.ru/samburg/17-06-2017/
11,2017,6,18,ясно,южный,5,758,100,10.0,убывающая,0.0,15,22,https://pogoda1.ru/samburg/18-06-2017/
12,2017,6,19,дождь,северо-восточный,6,755,96,10.0,убывающая,0.0,15,19,https://pogoda1.ru/samburg/19-06-2017/
13,2017,6,20,пасмурно,южный,8,752,70,10.0,убывающая,0.0,16,20,https://pogoda1.ru/samburg/20-06-2017/
14,2017,6,21,пасмурно,южный,7,751,74,10.0,убывающая,0.2,15,18,https://pogoda1.ru/samburg/21-06-2017/
15,2017,6,22,пасмурно,западный,5,755,77,10.0,убывающая,0.2,15,17,https://pogoda1.ru/samburg/22-06-2017/
16,2017,6,23,малооблачно,южный,2,761,80,10.0,убывающая,0.0,13,19,https://pogoda1.ru/samburg/23-06-2017/
17,2017,6,24,малооблачно,южный,5,758,60,10.0,новолуние,0.0,17,25,https://pogoda1.ru/samburg/24-06-2017/
18,2017,6,25,пасмурно,южный,7,754,68,10.0,растущая,0.0,19,23,https://pogoda1.ru/samburg/25-06-2017/
19,2017,6,26,малооблачно,восточный,3,762,67,10.0,растущая,0.0,10,18,https://pogoda1.ru/samburg/26-06-2017/
20,2017,6,27,пасмурно,восточный,7,757,59,10.0,растущая,0.0,16,19,https://pogoda1.ru/samburg/27-06-2017/
21,2017,6,28,пасмурно,южный,9,751,92,10.0,растущая,0.4,14,18,https://pogoda1.ru/samburg/28-06-2017/
22,2017,6,29,пасмурно,юго-западный,8,755,71,10.0,растущая,0.1,12,17,https://pogoda1.ru/samburg/29-06-2017/
23,2017,6,30,пасмурно,западный,6,758,73,10.0,растущая,0.0,14,15,https://pogoda1.ru/samburg/30-06-2017/
24,2017,7,1,ясно,северный,4,764,63,10.0,растущая,0.0,10,14,https://pogoda1.ru/samburg/01-07-2017/
25,2017,7,2,облачно,северный,3,761,67,10.0,растущая,0.0,10,16,https://pogoda1.ru/samburg/02-07-2017/
26,2017,7,3,ясно,северо-западный,5,764,56,10.0,растущая,0.0,9,10,https://pogoda1.ru/samburg/03-07-2017/
27,2017,7,4,малооблачно,северо-восточный,6,760,61,10.0,растущая,0.0,9,12,https://pogoda1.ru/samburg/04-07-2017/
28,2017,7,5,малооблачно,северо-восточный,10,761,54,10.0,растущая,0.0,14,14,https://pogoda1.ru/samburg/05-07-2017/
29,2017,7,6,ясно,северный,9,762,56,10.0,растущая,0.0,6,10,https://pogoda1.ru/samburg/06-07-2017/
30,2017,7,7,пасмурно,северный,6,757,61,10.0,растущая,0.0,7,12,https://pogoda1.ru/samburg/07-07-2017/
31,2017,7,8,пасмурно,западный,3,754,97,10.0,растущая,1.2,10,12,https://pogoda1.ru/samburg/08-07-2017/
32,2017,7,9,пасмурно,восточный,2,756,99,10.0,полнолуние,0.2,10,12,https://pogoda1.ru/samburg/09-07-2017/
33,2017,7,10,пасмурно,северный,8,758,73,10.0,убывающая,0.2,11,16,https://pogoda1.ru/samburg/10-07-2017/
34,2017,7,11,облачно,северный,8,764,62,10.0,убывающая,0.0,10,11,https://pogoda1.ru/samburg/11-07-2017/
35,2017,7,12,ясно,северный,6,766,68,10.0,убывающая,0.0,8,15,https://pogoda1.ru/samburg/12-07-2017/
36,2017,7,13,ясно,северо-западный,4,765,61,10.0,убывающая,0.0,10,17,https://pogoda1.ru/samburg/13-07-2017/
37,2017,7,14,ясно,северный,6,765,64,10.0,убывающая,0.0,9,15,https://pogoda1.ru/samburg/14-07-2017/
38,2017,7,15,пасмурно,северо-восточный,6,760,92,10.0,убывающая,7.9,18,15,https://pogoda1.ru/samburg/15-07-2017/
39,2017,7,16,пасмурно,восточный,5,766,67,10.0,убывающая,0.0,12,17,https://pogoda1.ru/samburg/16-07-2017/
40,2017,7,17,малооблачно,западный,3,768,84,10.0,убывающая,0.9,14,17,https://pogoda1.ru/samburg/17-07-2017/
41,2017,7,18,ясно,северо-восточный,6,767,68,10.0,убывающая,0.0,16,21,https://pogoda1.ru/samburg/18-07-2017/
42,2017,7,25,облачно,северо-восточный,3,759,46,10.0,растущая,0.0,18,25,https://pogoda1.ru/samburg/25-07-2017/
43,2017,7,26,ясно,северо-восточный,7,762,37,10.0,растущая,0.0,18,21,https://pogoda1.ru/samburg/26-07-2017/
44,2017,7,27,малооблачно,северо-восточный,5,764,56,10.0,растущая,0.0,12,15,https://pogoda1.ru/samburg/27-07-2017/
45,2017,7,28,пасмурно,северный,6,761,63,10.0,растущая,0.0,14,18,https://pogoda1.ru/samburg/28-07-2017/
46,2017,7,29,пасмурно,северный,6,757,67,10.0,растущая,0.0,15,18,https://pogoda1.ru/samburg/29-07-2017/
47,2017,7,30,ясно,северо-западный,6,759,52,10.0,растущая,0.0,17,15,https://pogoda1.ru/samburg/30-07-2017/
48,2017,7,31,облачно,юго-западный,5,764,52,10.0,растущая,0.0,13,14,https://pogoda1.ru/samburg/31-07-2017/
49,2017,8,1,малооблачно,юго-западный,6,760,62,10.0,растущая,0.0,18,22,https://pogoda1.ru/samburg/01-08-2017/
50,2017,8,2,дождь,северо-восточный,4,765,79,10.0,растущая,2.9,9,10,https://pogoda1.ru/samburg/02-08-2017/
51,2017,8,3,дождь,северо-восточный,7,763,82,10.0,растущая,0.9,9,10,https://pogoda1.ru/samburg/03-08-2017/
52,2017,8,4,пасмурно,северный,4,759,97,10.0,растущая,0.3,9,11,https://pogoda1.ru/samburg/04-08-2017/
53,2017,8,5,облачно,юго-восточный,6,753,98,10.0,растущая,0.0,14,21,https://pogoda1.ru/samburg/05-08-2017/
54,2017,8,6,пасмурно,южный,8,753,84,10.0,растущая,0.2,13,15,https://pogoda1.ru/samburg/06-08-2017/
55,2017,8,7,дождь,северо-западный,5,749,97,10.0,растущая,2.2,13,13,https://pogoda1.ru/samburg/07-08-2017/
56,2017,8,8,пасмурно,юго-западный,10,750,84,10.0,убывающая,0.2,11,10,https://pogoda1.ru/samburg/08-08-2017/
57,2017,8,9,дождь,юго-восточный,7,753,87,10.0,убывающая,0.2,8,10,https://pogoda1.ru/samburg/09-08-2017/
58,2017,8,10,дождь,северо-восточный,5,758,90,10.0,убывающая,0.0,11,14,https://pogoda1.ru/samburg/10-08-2017/
59,2017,8,11,пасмурно,северный,3,758,93,10.0,убывающая,0.0,10,14,https://pogoda1.ru/samburg/11-08-2017/
60,2017,8,12,пасмурно,северо-западный,5,761,100,10.0,убывающая,3.5,10,9,https://pogoda1.ru/samburg/12-08-2017/
61,2017,8,13,малооблачно,западный,3,768,78,10.0,убывающая,0.0,7,9,https://pogoda1.ru/samburg/13-08-2017/
62,2017,8,14,пасмурно,юго-западный,2,771,75,10.0,убывающая,0.0,7,6,https://pogoda1.ru/samburg/14-08-2017/
63,2017,8,15,пасмурно,юго-западный,6,766,70,10.0,убывающая,0.2,14,13,https://pogoda1.ru/samburg/15-08-2017/
64,2017,8,16,пасмурно,юго-западный,5,763,62,10.0,убывающая,0.0,17,19,https://pogoda1.ru/samburg/16-08-2017/
65,2017,8,17,облачно,северо-западный,4,770,73,10.0,убывающая,0.0,8,12,https://pogoda1.ru/samburg/17-08-2017/
66,2017,8,18,пасмурно,западный,4,772,77,10.0,убывающая,0.0,8,12,https://pogoda1.ru/samburg/18-08-2017/
67,2017,8,19,дождь,южный,5,766,100,10.0,убывающая,1.2,9,11,https://pogoda1.ru/samburg/19-08-2017/
68,2017,8,20,ясно,северо-западный,3,770,93,10.0,убывающая,0.0,8,8,https://pogoda1.ru/samburg/20-08-2017/
69,2017,8,21,дождь,южный,7,763,99,10.0,убывающая,4.3,8,7,https://pogoda1.ru/samburg/21-08-2017/
70,2017,8,22,пасмурно,западный,6,766,80,10.0,растущая,0.0,12,10,https://pogoda1.ru/samburg/22-08-2017/
71,2017,8,23,пасмурно,западный,4,769,81,10.0,растущая,0.0,11,11,https://pogoda1.ru/samburg/23-08-2017/
72,2017,8,24,пасмурно,северо-западный,2,773,91,10.0,растущая,0.0,6,8,https://pogoda1.ru/samburg/24-08-2017/
73,2017,8,25,ясно,северо-восточный,3,774,80,10.0,растущая,0.2,7,9,https://pogoda1.ru/samburg/25-08-2017/
74,2017,8,26,пасмурно,юго-восточный,5,772,64,10.0,растущая,0.0,5,9,https://pogoda1.ru/samburg/26-08-2017/
75,2017,8,27,малооблачно,юго-западный,4,762,98,10.0,растущая,5.9,13,18,https://pogoda1.ru/samburg/27-08-2017/
76,2017,8,28,пасмурно,южный,2,761,97,10.0,растущая,0.0,9,16,https://pogoda1.ru/samburg/28-08-2017/
77,2017,8,29,ясно,южный,5,753,100,10.0,растущая,0.0,15,15,https://pogoda1.ru/samburg/29-08-2017/
