iter	MultiClass
0	1.017938872
1	0.9454897003
2	0.8885462615
3	0.8456438196
4	0.8039620645
5	0.7683082631
6	0.7377631064
7	0.7139484439
8	0.6891367335
9	0.6692607218
10	0.6518988007
11	0.6349529484
12	0.6209520413
13	0.6096001687
14	0.5991502132
15	0.5886793044
16	0.5798357565
17	0.5711276388
18	0.5638252217
19	0.5578419627
20	0.5516316109
21	0.5459444829
22	0.5408972359
23	0.5369202219
24	0.5326402199
25	0.5294518238
26	0.5257616337
27	0.5219138284
28	0.5183271491
29	0.5155471175
30	0.5127773552
31	0.5102160197
32	0.5082334954
33	0.5052992804
34	0.5035213353
35	0.5014033609
36	0.499345102
37	0.4979759681
38	0.4962772187
39	0.4948751551
40	0.4937193637
41	0.4925307237
42	0.4909978354
43	0.4902347981
44	0.489019665
45	0.4881896469
46	0.4866425268
47	0.4855164092
48	0.4845402159
49	0.4837246703
50	0.4827415203
51	0.4818189372
52	0.4811919484
53	0.4805862432
54	0.4795898323
55	0.478677225
56	0.4779380699
57	0.4772795333
58	0.4764082954
59	0.4757356772
60	0.4753209684
61	0.4744185183
62	0.4739230044
63	0.4730943305
64	0.4726771555
65	0.4724154172
66	0.4718753579
67	0.4713359517
68	0.4705815563
69	0.4699060952
70	0.4692072934
71	0.4687306484
72	0.4680850941
73	0.4679527713
74	0.4674512239
75	0.4670397164
76	0.4665409154
77	0.4660854294
78	0.4654344481
79	0.464947368
80	0.4645017142
81	0.4639944014
82	0.4633819726
83	0.4632084318
84	0.4628849932
85	0.4624763767
86	0.4616891888
87	0.461415649
88	0.4603527751
89	0.4598516548
90	0.4593706711
91	0.458606474
92	0.4581929885
93	0.4575560958
94	0.4572742372
95	0.4567759964
96	0.456238851
97	0.4559735662
98	0.4555321948
99	0.4551842965
