iter	Passed	Remaining
0	0	94
1	2	106
2	3	98
3	3	93
4	6	118
5	7	111
6	7	106
7	8	101
8	9	97
9	10	94
10	11	91
11	12	88
12	12	86
13	13	84
14	14	83
15	15	81
16	16	79
17	17	79
18	18	79
19	20	83
20	22	83
21	23	82
22	24	81
23	25	81
24	29	87
25	30	86
26	31	85
27	32	84
28	33	83
29	38	88
30	40	90
31	41	88
32	42	87
33	44	85
34	45	84
35	46	83
36	49	84
37	53	87
38	55	86
39	56	84
40	57	82
41	57	80
42	58	78
43	60	76
44	60	74
45	61	72
46	62	70
47	63	68
48	64	66
49	65	65
50	66	64
51	67	62
52	68	61
53	70	59
54	70	58
55	71	56
56	72	55
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	79	46
63	82	46
64	84	45
65	86	44
66	87	42
67	88	41
68	89	40
69	90	38
70	91	37
71	92	36
72	93	34
73	94	33
74	96	32
75	98	30
76	99	29
77	100	28
78	101	26
79	103	25
80	104	24
81	105	23
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	112	13
89	113	12
90	115	11
91	116	10
92	117	8
93	119	7
94	120	6
95	121	5
96	122	3
97	124	2
98	125	1
99	126	0
